qtype,cleaned_question,cleaned_answer
prevention,prevent childhood nephrotic syndrome,researchers found way prevent childhood nephrotic syndrome cause idiopathic congenital
considerations,childhood nephrotic syndrome,children nephrotic syndrome may need make changes diet limiting amount sodium often salt take day reducing amount liquids drink day eating diet low saturated fat cholesterol help control elevated cholesterol levels parents caretakers talk childs health care provider making changes childs diet information provided niddk health topic nutrition chronic kidney disease children
considerations,childhood nephrotic syndrome,childhood nephrotic syndrome disease rather group symptoms indicate kidney damageparticularly damage glomeruli tiny units within kidney blood filtered result release much protein body urine two types childhood nephrotic syndrome primarythe common type childhood nephrotic syndrome begins kidneys affects kidneys secondarythe syndrome caused diseases signs symptoms childhood nephrotic syndrome may include edemaswelling often legs feet ankles less often hands face albuminuriawhen childs urine high levels albumin hypoalbuminemiawhen childs blood low levels albumin hyperlipidemiawhen childs blood cholesterol fat levels higher normal health care provider may order urine tests help determine child kidney damage childhood nephrotic syndrome health care providers decide treat childhood nephrotic syndrome based type primary childhood nephrotic syndrome medications secondary childhood nephrotic syndrome treat underlying illness disease congenital nephrotic syndrome medications surgery remove one kidneys transplantation
information,renal tubular acidosis,renal tubular acidosis rta disease occurs kidneys fail excrete acids urine causes persons blood remain acidic without proper treatment chronic acidity blood leads growth retardation kidney stones bone disease chronic kidney disease possibly total kidney failure bodys cells use chemical reactions carry tasks turning food energy repairing tissue chemical reactions generate acids acid blood normal much acidacidosiscan disturb many bodily functions healthy kidneys help maintain acidbase balance excreting acids urine returning bicarbonatean alkaline base substanceto blood reclaimed bicarbonate neutralizes much acid created food broken body movement substances like bicarbonate blood structures kidneys called transport one researcher theorized charles dickens may describing child rta character tiny tim christmas carol tiny tims small stature malformed limbs periods weakness possible consequences chemical imbalance caused story tiny tim recovers receives medical treatment would likely included sodium bicarbonate sodium citrate alkaline agents neutralize acidic blood good news medical treatment indeed reverse effects rta
exams and tests,diagnose renal tubular acidosis,diagnose rta doctors check acidbase balance blood urine samples blood acidic urine less acidic rta may reason additional information needed rule causes rta reason additional information sodium potassium chloride levels urine potassium level blood help identify type rta person cases first goal therapy neutralize acid blood different treatments may needed address different underlying causes acidosis
information,renal tubular acidosis,type classical distal rta type also called classical distal rta distal means distant refers point urineforming tube kidney defect occursrelatively distant point fluid blood enters tiny tube tubule collects fluid wastes form urine disorder may inherited primary disorder may one symptom disease affects many parts body researchers discovered abnormal genes responsible inherited forms disease often however classical distal rta occurs result systemic diseasesdiseases affect many organ systemslike autoimmune disorders sjgrens syndrome lupus also attack distal tubule diseases conditions associated classical distal rta include sickle cell anemia hyperparathyroidism hyperthyroidism chronic active hepatitis primary biliary cirrhosis hereditary form deafness analgesic nephropathy rejection transplanted kidney renal medullary cystic disease obstructive uropathy chronic urinary tract infections many conditions cause abnormal calcium deposits build kidney impair distal tubule function major consequence classical distal rta low blood potassium level level drops kidneys excrete much potassium urine instead returning blood supply potassium helps regulate nerve muscle health heart rate low levels cause extreme weakness irregular heartbeat paralysis even death untreated classical distal rta causes growth retardation children progressive kidney bone disease adults restoring normal growth preventing kidney stones major goals therapy acidosis corrected sodium bicarbonate sodium citrate low bloodpotassium salt depletion calcium leakage urine corrected alkali therapy also helps decrease development kidney stones stabilizes kidney function kidney failure progress infants may need potassium supplements older children adults rarely alkali therapy prevents kidney excreting potassium urine type proximal rta type also called proximal rta word proximal means near indicates defect closer point fluid wastes blood enter tubule form rta occurs frequently children part disorder called fanconis syndrome features fanconis syndrome include abnormal excretion glucose amino acids citrate phosphate urine well vitamin deficiency low bloodpotassium proximal rta also result inherited disorders disrupt bodys normal breakdown use nutrients examples include rare disease cystinosis cystine crystals deposited bones tissues hereditary fructose intolerance wilson disease proximal rta also occurs patients treated ifosfamide drug used chemotherapy older drugssuch acetazolamide outdated tetracyclinecan also cause proximal rta adults proximal rta may complicate diseases like multiple myeloma may occur people experience chronic rejection transplanted kidney possible identifying correcting underlying causes important steps treating acquired forms proximal rta diagnosis based chemical analysis blood urine samples children disorder would likely receive large doses oral alkali sodium bicarbonate potassium citrate treat acidosis prevent bone disorders kidney stones growth failure correcting acidosis low potassium levels restores normal growth patterns allowing bone mature preventing renal disease vitamin supplements may also needed help prevent bone problems type type rarely used classification thought combination type type type hyperkalemic rta type also called hyperkalemic rta caused generalized transport abnormality distal tubule transport electrolytes sodium chloride potassium normally occurs distal tubule impaired form distinguished classical distal rta proximal rta results high levels potassium blood instead low levels either low potassiumhypokalemiaor high potassiumhyperkalemiacan problem potassium important regulating heart rate type rta occurs blood levels hormone aldosterone low kidneys respond aldosterone directs kidneys regulate levels sodium potassium chloride blood type rta also occurs tubule transport electrolytes sodium chloride potassium impaired due inherited disorder use certain drugs drugs may cause type rta include diuretics used treat congestive heart failure spironolactone eplerenone blood pressure drugs called angiotensinconverting enzyme ace inhibitors angiotensin receptor blockers arbs antibiotic trimethoprim antibiotic pentamidine used treat pneumonia agent called heparin keeps blood clotting class painkillers called nonsteroidal antiinflammatory drugs nsaids immunosuppressive drugs used prevent rejection type rta may also result diseases alter kidney structure function diabetic nephropathy hivaids addisons disease sickle cell disease urinary tract obstruction lupus amyloidosis removal destruction adrenal glands kidney transplant rejection people produce aldosterone cannot use researchers identified genetic basis bodys resistance hormone treat type rta successfully patients may require alkaline agents correct acidosis medication lower potassium blood treated early people type rta develop permanent kidney failure therefore goal early recognition adequate therapy need maintained monitored throughout persons lifetime
considerations,renal tubular acidosis,renal tubular acidosis rta disease occurs kidneys fail excrete acids urine causes persons blood remain acidic without proper treatment chronic acidity blood leads growth retardation kidney stones bone disease chronic kidney disease possibly total kidney failure rta suspected additional information sodium potassium chloride levels urine potassium level blood help identify type rta person cases first goal therapy neutralize acid blood different treatments may needed address different underlying causes acidosis
information,prevent diabetes problems keep diabetes control,diabetes problems health problems happen diabetes diabetes control much glucose also called sugar blood much glucose blood long time affect many important parts body blood vessels heart nerves kidneys mouth eyes feet lot prevent slow health problems keep diabetes control chart shows body parts affected diabetes resulting health problems may affected body part resulting health problems may blood vessels heart heart disease heart attack stroke high blood pressure poor blood circulation flow throughout body nerves pain tingling weakness numbness hands arms feet legs problems bladder digestion sex keeping heartbeats blood pressure steady kidneys protein loss urine buildup wastes fluid blood mouth gum disease loss teeth dry mouth thrush growth much fungus mouth eyes loss vision blindness feet sores infections amputation see pronunciation guide tips say words bold type
information,prevent diabetes problems keep diabetes control,test also called hemoglobin test glycohemoglobin test blood test reflects average level glucose blood past months test result given percents doctor might use test help diagnose diabetes doctor draw sample blood office send lab sample blood drawn test diagnosed diabetes test least twice year result plus record blood glucose numbers show whether blood glucose control result high may need change diabetes care plan health care team help decide part plan change instance might need change meal plan diabetes medicines physical activity plan result target diabetes treatment plan working lower lower chance diabetes problems chart shows goals different types people diabetes types people goals people diabetes women diabetes want get pregnant pregnant goals also depend long diabetes whether health problems ask doctor goal right chart shows result may match average blood glucose number result means result average blood glucose number
considerations,prevent diabetes problems keep diabetes control,following healthy eating plan key step living diabetes preventing diabetes problems health care team help make healthy eating plan information provided niddk health topic need know eating diabetes call
prevention,prevent prevent diabetes problems keep diabetes control,take steps day prevent diabetes problems steps healthy eating follow healthy eating plan doctor dietitian made learn eat keep blood glucose levels control make wise food choices help feel good every day lose weight needed blood glucose check blood glucose every day time check blood glucose write number record book share health care team treat low blood glucose quickly physical activity even small amounts physical activity help manage diabetes aim minutes physical activity days week children adolescents type diabetes years old aim minutes activity every day physical activity take place time aerobic activities brisk walking use large muscles make heart beat faster large muscles upper lower arms legs control head shoulder hip movements activities strengthen muscles bone lifting weights situps aim two times week stretch increase flexibility lower stress help prevent muscle soreness physical activity increase daily activity decreasing time spent watching tv computer children adolescents limit screen time related school less hours per day limiting screen time help meet physical activity goal always talk doctor start new physical activity program medicines take medicines directed including insulin ordered doctor feet check feet every day cuts blisters sores swelling redness sore toenails mouth brush floss teeth every day blood pressure control blood pressure cholesterol smoking dont smoke
exams and tests,diagnose prevent diabetes problems keep diabetes control,chart lists important tests exams vaccines get least twice year tests exams vaccines get least twice year make sure test blood test least twice year result tell average blood glucose level past months cholesterol test get blood test check total cholesterol ldl hdl triglycerides kidney tests year get urine test check protein least year get blood test check creatinine waste product healthy kidneys remove body eye exam see eye doctor year complete eye exam includes using drops eyes dilate pupils pregnant complete eye exam first months pregnancy another complete eye exam year baby born dental exam see dentist twice year cleaning checkup flu vaccine get flu vaccine year pneumonia vaccine get vaccine younger youre older vaccine years ago get another one hepatitis b vaccine get vaccine youre younger already vaccine prevent exposure hepatitis b sharing blood glucose monitors diabetes equipment
information,hepatitis b asian pacific islander americans need know,hepatitis b liver disease spread contact blood semen body fluids person infected hepatitis b virus disease commonly spread infected mother infant birth hepatitis b also spread sex woundtowound contact contact items may blood shaving razors toothbrushes syringes tattoo body piercing needles hepatitis b spread casual contact shaking hands hugging spread sharing food beverages sneezing coughing breastfeeding
information,hepatitis b asian pacific islander americans need know,hepatitis b may start brief flulike illness healthy adults children older completely recover bodys immune system gets rid virus hepatitis b becomes chronic bodys immune system cant get rid virus time virus lead inflammation liver scar tissue liver called cirrhosis liver cancer inflammation painful red swelling results tissues body become infected young children people weakened immune systems especially risk people infected infants percent chance developing chronic hepatitis
susceptibility,risk hepatitis b asian pacific islander americans need know,since hepatitis b vaccine available given newborns children united states vaccine however unavailableor recently become availablein many parts world higher risk hepatitis b mother born region world hepatitis b common meaning percent population chronically infected hepatitis b asian pacific island nations percent population chronically
symptoms,symptoms hepatitis b asian pacific islander americans need know,hepatitis b called silent killer many people symptoms disease often progresses unnoticed years unfortunately many people first learn chronic hepatitis b develop symptoms severe liver damage include yellowish eyes skin called jaundice swollen stomach ankles tiredness nausea weakness loss appetite weight loss spiderlike blood vessels called spider angiomas develop skin
susceptibility,risk hepatitis b asian pacific islander americans need know,anyone get hepatitis b people higher risk including people born mother hepatitis b people close household contact someone infected hepatitis b virus people lived parts world hepatitis b common including asian pacific island nations people exposed blood body fluids work people hemodialysis people whose sex partners hepatitis b people one sex partner last months history sexually transmitted disease injection drug users men sex men
information,acquired cystic kidney disease,acquired cystic kidney disease happens persons kidneys develop fluidfilled sacs called cysts time acquired cystic kidney disease polycystic kidney disease pkd another disease causes kidneys develop multiple cysts acquired cystic kidney disease occurs children adults chronic kidney disease ckda condition develops many years may lead endstage kidney disease esrd kidneys people ckd gradually lose ability filter wastes extra salt fluid blood properly endstage kidney diseasetotal permanent kidney failure requires kidney transplant bloodfiltering treatments called dialysis cysts likely develop people kidney dialysis chance developing acquired cystic kidney disease increases number years person dialysis however cysts caused ckd kidney failure dialysis treatments information provided niddk health topics kidney failureand dialysis
information,acquired cystic kidney disease,acquired cystic kidney disease differs pkd several ways unlike acquired cystic kidney disease pkd genetic inherited disorder cause complications high blood pressure problems blood vessels brain heart following chart lists differences people polycystic kidney disease born gene causes disease enlarged kidneys develop cysts liver parts body people acquired cystic kidney disease diseasecausing gene kidneys normalsized smaller form cysts parts body addition people pkd presence cysts marks onset disease people acquired cystic kidney disease already ckd develop cysts information provided niddk health topic polycystic kidney disease
frequency,many people affected acquired cystic kidney disease,acquired cystic kidney disease becomes common longer person ckd percent people ckd already acquired cystic kidney disease starting dialysis treatments almost percent people dialysis years develop acquired cystic kidney percent people dialysis years develop acquired cystic kidney
causes,causes acquired cystic kidney disease,researchers fully understand causes cysts grow kidneys people ckd fact cysts occur kidneys parts body pkd indicates processes lead cyst formation take place primarily inside
symptoms,symptoms acquired cystic kidney disease,person acquired cystic kidney disease often symptoms however complications acquired cystic kidney disease signs symptoms
complications,complications acquired cystic kidney disease,people acquired cystic kidney disease may develop following complications infected cyst cause fever back pain blood urine signal cyst kidney bleeding tumors kidneys people acquired cystic kidney disease likely people general population cancerous kidney tumors however chance cancer spreading lower people acquired cystic kidney disease kidney cancers associated acquired cystic kidney disease longterm outlook
exams and tests,diagnose acquired cystic kidney disease,health care provider may diagnose person acquired cystic kidney disease based medical history imaging tests medical history taking medical history may help health care provider diagnose acquired cystic kidney disease health care provider may suspect acquired cystic kidney disease person dialysis several years develops symptoms fever back pain blood urine imaging tests confirm diagnosis health care provider may order one imaging tests radiologista doctor specializes medical imaginginterprets images tests patient need anesthesia ultrasound uses device called transducer bounces safe painless sound waves organs create image structure specially trained technician performs procedure health care providers office outpatient center hospital images show cysts kidneys well kidneys size shape computerized tomography ct scans use combination x rays computer technology create images ct scan nurse technician may give patient solution drink injection special dye called contrast medium ct scans require patient lie table slides tunnelshaped device xray technician takes xrays xray technician performs procedure outpatient center hospital ct scans show cysts tumors kidneys magnetic resonance imaging mri test takes pictures bodys internal organs soft tissues without using xrays specially trained technician performs procedure outpatient center hospital although patient need anesthesia health care provider may give people fear confined spaces light sedation taken mouth mri may include injection contrast medium mri machines patient lie table slides tunnelshaped device may openended closed one end machines allow patient lie open space mri patient although usually awake must remain perfectly still technician takes images usually takes minutes technician take sequence images different angles create detailed picture kidneys test patient hear loud mechanical knocking humming noises machine sometimes health care provider may discover acquired cystic kidney disease imaging exam another condition images kidneys may help health care provider distinguish acquired cystic kidney disease pkd
treatment,treatments acquired cystic kidney disease,acquired cystic kidney disease causing complications person need treatment health care provider treat infections antibioticsmedications kill bacteria large cysts causing pain health care provider may drain cyst using long needle inserted cyst skin surgeon transplants new kidney patients body treat kidney failure acquired cystic kidney disease damaged kidneys usually remain place transplant often disappears surgeon may perform operation remove tumors suspected tumors rare cases surgeon performs operation stop cysts bleeding regular screenings look cyst tumor growth health care providers recommend people endstage kidney disease get screened kidney cancer using ct scans mris years dialysis people acquired cystic kidney disease talk health care provider begin screening
considerations,acquired cystic kidney disease,specific diet prevent delay acquired cystic kidney disease general diet designed people hemodialysis peritoneal dialysis reduces amount wastes accumulate body dialysis sessions information provided niddk health topics eat right feel right hemodialysis nutrition advanced chronic kidney disease adults
considerations,acquired cystic kidney disease,acquired cystic kidney disease happens persons kidneys develop fluidfilled sacs called cysts time acquired cystic kidney disease occurs children adults chronic kidney disease ckd endstage kidney disease esrd people acquired cystic kidney disease may develop following complications infected cyst cause fever back pain blood urine signal cyst kidney bleeding tumors kidneys confirm diagnosis health care provider may order one imaging tests ultrasound computerized tomography ct scan magnetic resonance imaging mri acquired cystic kidney disease causing complications person need treatment health care provider treat infections antibioticsmedications kill bacteria large cysts causing pain health care provider may drain cyst using long needle inserted cyst skin surgeon may perform operation remove tumors suspected tumors rare cases surgeon performs operation stop cysts bleeding
information,prostate enlargement benign prostatic hyperplasia,benign prostatic hyperplasiaalso called bphis condition men prostate gland enlarged cancerous benign prostatic hyperplasia also called benign prostatic hypertrophy benign prostatic obstruction prostate goes two main growth periods man ages first occurs early puberty prostate doubles size second phase growth begins around age continues mans life benign prostatic hyperplasia often occurs second growth phase prostate enlarges gland presses pinches urethra bladder wall becomes thicker eventually bladder may weaken lose ability empty completely leaving urine bladder narrowing urethra urinary retentionthe inability empty bladder completelycause many problems associated benign prostatic hyperplasia
information,prostate enlargement benign prostatic hyperplasia,prostate walnutshaped gland part male reproductive system main function prostate make fluid goes semen prostate fluid essential mans fertility gland surrounds urethra neck bladder bladder neck area urethra joins bladder bladder urethra parts lower urinary tract prostate two lobes sections enclosed outer layer tissue front rectum bladder urethra tube carries urine bladder outside body men urethra also carries semen penis
causes,causes prostate enlargement benign prostatic hyperplasia,cause benign prostatic hyperplasia well understood however occurs mainly older men benign prostatic hyperplasia develop men whose testicles removed puberty reason researchers believe factors related aging testicles may cause benign prostatic hyperplasia throughout lives men produce testosterone male hormone small amounts estrogen female hormone men age amount active testosterone blood decreases leaves higher proportion estrogen scientific studies suggested benign prostatic hyperplasia may occur higher proportion estrogen within prostate increases activity substances promote prostate cell growth another theory focuses dihydrotestosterone dht male hormone plays role prostate development growth research indicated even drop blood testosterone levels older men continue produce accumulate high levels dht prostate accumulation dht may encourage prostate cells continue grow scientists noted men produce dht develop benign prostatic hyperplasia
frequency,many people affected prostate enlargement benign prostatic hyperplasia,benign prostatic hyperplasia common prostate problem men older age many million men united states lower urinary tract symptoms suggestive benign prostatic although benign prostatic hyperplasia rarely causes symptoms age occurrence symptoms increase age benign prostatic hyperplasia affects percent men ages percent men older
symptoms,symptoms prostate enlargement benign prostatic hyperplasia,lower urinary tract symptoms suggestive benign prostatic hyperplasia may include urinary frequencyurination eight times day urinary urgencythe inability delay urination trouble starting urine stream weak interrupted urine stream dribbling end urination nocturiafrequent urination periods sleep urinary retention urinary incontinencethe accidental loss urine pain ejaculation urination urine unusual color smell symptoms benign prostatic hyperplasia often come blocked urethra bladder overworked trying pass urine blockage size prostate always determine severity blockage symptoms men greatly enlarged prostates little blockage symptoms men minimally enlarged prostates greater blockage symptoms less half men benign prostatic hyperplasia lower urinary tract sometimes men may know blockage cannot urinate condition called acute urinary retention result taking overthecounter cold allergy medications contain decongestants pseudoephedrine oxymetazoline potential side effect medications may prevent bladder neck relaxing releasing urine medications contain antihistamines diphenhydramine weaken contraction bladder muscles cause urinary retention difficulty urinating painful urination men partial urethra blockage urinary retention also occur result alcohol consumption cold temperatures long period inactivity
complications,complications prostate enlargement benign prostatic hyperplasia,complications benign prostatic hyperplasia may include acute urinary retention chronic long lasting urinary retention blood urine urinary tract infections utis bladder damage kidney damage bladder stones men benign prostatic hyperplasia develop complications however kidney damage particular serious health threat occurs seek medical care person may urinary symptoms unrelated benign prostatic hyperplasia caused bladder problems utis prostatitisinflammation prostate symptoms benign prostatic hyperplasia also signal serious conditions including prostate cancer men symptoms benign prostatic hyperplasia see health care provider men following symptoms seek immediate medical care complete inability urinate painful frequent urgent need urinate fever chills blood urine great discomfort pain lower abdomen urinary tract
exams and tests,diagnose prostate enlargement benign prostatic hyperplasia,health care provider diagnoses benign prostatic hyperplasia based personal family medical history physical exam medical tests personal family medical history taking personal family medical history one first things health care provider may help diagnose benign prostatic hyperplasia health care provider may ask man symptoms present symptoms began often occur whether history recurrent utis medications takes prescription counter much liquid typically drinks day whether consumes caffeine alcohol general medical history including significant illnesses surgeries physical exam physical exam may help diagnose benign prostatic hyperplasia physical exam health care provider often examines patients body include checking discharge urethra enlarged tender lymph nodes groin swollen tender scrotum taps specific areas patients body performs digital rectal exam digital rectal exam rectal exam physical exam prostate perform exam health care provider asks man bend table lie side holding knees close chest health care provider slides gloved lubricated finger rectum feels part prostate lies next rectum man may feel slight brief discomfort rectal exam health care provider often performs rectal exam office visit men require anesthesia exam helps health care provider see prostate enlarged tender abnormalities require testing many health care providers perform rectal exam part routine physical exam men age older whether urinary problems medical tests health care provider may refer men urologista doctor specializes urinary problems male reproductive systemthough health care provider often diagnoses benign prostatic hyperplasia basis symptoms digital rectal exam urologist uses medical tests help diagnose lower urinary tract problems related benign prostatic hyperplasia recommend treatment medical tests may include urinalysis prostatespecific antigen psa blood test urodynamic tests cystoscopy transrectal ultrasound biopsy urinalysis urinalysis involves testing urine sample patient collects urine sample special container health care providers office commercial facility health care provider tests sample office visit sends lab analysis test nurse technician places strip chemically treated paper called dipstick urine patches dipstick change color indicate signs infection urine psa blood test health care provider may draw blood psa test office visit commercial facility send sample lab analysis prostate cells create protein called psa men prostate cancer may higher amount psa blood however high psa level necessarily indicate prostate cancer fact benign prostatic hyperplasia prostate infections inflammation aging normal fluctuations often cause high psa levels much remains unknown interpret psa blood test tests ability discriminate cancer prostate conditions benign prostatic hyperplasia best course action take psa level high urodynamic tests urodynamic tests include variety procedures look well bladder urethra store release urine health care provider performs urodynamic tests office visit outpatient center hospital urodynamic tests require anesthesia others may require local anesthesia urodynamic tests focus bladders ability hold urine empty steadily completely may include following uroflowmetry measures rapidly bladder releases urine postvoid residual measurement evaluates much urine remains bladder urination reduced urine flow residual urine bladder often suggests urine blockage due benign prostatic hyperplasia information provided niddk health topic urodynamic testing cystoscopy cystoscopy procedure uses tubelike instrument called cystoscope look inside urethra bladder urologist inserts cystoscope opening tip penis lower urinary tract urologist performs cystoscopy office visit outpatient center hospital urologist give patient local anesthesia however cases patient may require sedation regional general anesthesia urologist may use cystoscopy look blockage stones urinary tract information provided niddk health topic cystoscopy ureteroscopy transrectal ultrasound transrectal ultrasound uses device called transducer bounces safe painless sound waves organs create image structure health care provider move transducer different angles make possible examine different organs specially trained technician performs procedure health care providers office outpatient center hospital radiologista doctor specializes medical imaginginterprets images patient require anesthesia urologists often use transrectal ultrasound examine prostate transrectal ultrasound technician inserts transducer slightly larger pen mans rectum next prostate ultrasound image shows size prostate abnormalities tumors transrectal ultrasound cannot reliably diagnose prostate cancer biopsy biopsy procedure involves taking small piece prostate tissue examination microscope urologist performs biopsy outpatient center hospital urologist give patient light sedation local anesthetic however cases patient require general anesthesia urologist uses imaging techniques ultrasound computerized tomography scan magnetic resonance imaging guide biopsy needle prostate pathologista doctor specializes examining tissues diagnose diseasesexamines prostate tissue lab test show whether prostate cancer present information provided niddk health topic medical tests prostate problems
treatment,treatments prostate enlargement benign prostatic hyperplasia,treatment options benign prostatic hyperplasia may include lifestyle changes medications minimally invasive procedures surgery health care provider treats benign prostatic hyperplasia based severity symptoms much symptoms affect mans daily life mans preferences men may need treatment mildly enlarged prostate unless symptoms bothersome affecting quality life cases instead treatment urologist may recommend regular checkups benign prostatic hyperplasia symptoms become bothersome present health risk urologist often recommends treatment lifestyle changes health care provider may recommend lifestyle changes men whose symptoms mild slightly bothersome lifestyle changes include reducing intake liquids particularly going public periods sleep avoiding reducing intake caffeinated beverages alcohol avoiding monitoring use medications decongestants antihistamines antidepressants diuretics training bladder hold urine longer periods exercising pelvic floor muscles preventing treating constipation medications health care provider urologist may prescribe medications stop growth shrink prostate reduce symptoms associated benign prostatic hyperplasia alpha blockers inhibitors reductase inhibitors combination medications alpha blockers medications relax smooth muscles prostate bladder neck improve urine flow reduce bladder blockage terazosin hytrin doxazosin cardura tamsulosin flomax alfuzosin uroxatral silodosin rapaflo inhibitors urologists prescribe medications mainly erectile dysfunction tadalafil cialis belongs class medications reduce lower urinary tract symptoms relaxing smooth muscles lower urinary tract researchers working determine role erectile dysfunction drugs longterm treatment benign prostatic hyperplasia reductase inhibitors medications block production dht accumulates prostate may cause prostate growth finasteride proscar dutasteride avodart medications prevent progression prostate growth actually shrink prostate men finasteride dutasteride act slowly alpha blockers useful moderately enlarged prostates combination medications several studies medical therapy prostatic symptoms mtops study shown combining two classes medications instead using one effectively improve symptoms urinary flow quality life combinations include finasteride doxazosin dutasteride tamsulosin jalyn combination medications available single tablet alpha blockers antimuscarinics urologist may prescribe combination alpha blockers antimuscarinics patients overactive bladder symptoms overactive bladder condition bladder muscles contract uncontrollably cause urinary frequency urinary urgency urinary incontinence antimuscarinics class medications relax bladder muscles minimally invasive procedures researchers developed number minimally invasive procedures relieve benign prostatic hyperplasia symptoms medications prove ineffective procedures include transurethral needle ablation transurethral microwave thermotherapy highintensity focused ultrasound transurethral electrovaporization waterinduced thermotherapy prostatic stent insertion minimally invasive procedures destroy enlarged prostate tissue widen urethra help relieve blockage urinary retention caused benign prostatic hyperplasia urologists perform minimally invasive procedures using transurethral method involves inserting cathetera thin flexible tubeor cystoscope urethra reach prostate procedures may require local regional general anesthesia although destroying troublesome prostate tissue relieves many benign prostatic hyperplasia symptoms tissue destruction cure benign prostatic hyperplasia urologist decide procedure perform based mans symptoms overall health transurethral needle ablation procedure uses heat generated radiofrequency energy destroy prostate tissue urologist inserts cystoscope urethra prostate urologist inserts small needles end cystoscope prostate needles send radiofrequency energy heats destroys selected portions prostate tissue shields protect urethra heat damage transurethral microwave thermotherapy procedure uses microwaves destroy prostate tissue urologist inserts catheter urethra prostate device called antenna sends microwaves catheter heat selected portions prostate temperature becomes high enough inside prostate destroy enlarged tissue cooling system protects urinary tract heat damage procedure highintensity focused ultrasound procedure urologist inserts special ultrasound probe rectum near prostate ultrasound waves probe heat destroy enlarged prostate tissue transurethral electrovaporization procedure urologist inserts tubelike instrument called resectoscope urethra reach prostate electrode attached resectoscope moves across surface prostate transmits electric current vaporizes prostate tissue vaporizing effect penetrates surface area treated seals blood vessels reduces risk bleeding waterinduced thermotherapy procedure uses heated water destroy prostate tissue urologist inserts catheter urethra treatment balloon rests middle prostate heated water flows catheter treatment balloon heats destroys surrounding prostate tissue treatment balloon target specific region prostate surrounding tissues urethra bladder remain protected prostatic stent insertion procedure involves urologist inserting small device called prostatic stent urethra area narrowed enlarged prostate place stent expands like spring pushes back prostate tissue widening urethra prostatic stents may temporary permanent urologists generally use prostatic stents men may tolerate suitable procedures surgery longterm treatment benign prostatic hyperplasia urologist may recommend removing enlarged prostate tissue making cuts prostate widen urethra urologists recommend surgery medications minimally invasive procedures ineffective symptoms particularly bothersome severe complications arise although removing troublesome prostate tissue relieves many benign prostatic hyperplasia symptoms tissue removal cure benign prostatic hyperplasia surgery remove enlarged prostate tissue includes transurethral resection prostate turp laser surgery open prostatectomy transurethral incision prostate tuip urologist performs surgeries except open prostatectomy using transurethral method men surgical procedures require local regional general anesthesia may need stay hospital urologist may prescribe antibiotics soon surgery prevent infection urologists prescribe antibiotics infection occurs immediately benign prostatic hyperplasia surgery urologist may insert special catheter called foley catheter opening penis drain urine bladder drainage pouch turp turp urologist inserts resectoscope urethra reach prostate cuts pieces enlarged prostate tissue wire loop special fluid carries tissue pieces bladder urologist flushes end procedure turp common surgery benign prostatic hyperplasia considered gold standard treating blockage urethra due benign prostatic hyperplasia laser surgery surgery urologist uses highenergy laser destroy prostate tissue urologist uses cystoscope pass laser fiber urethra prostate laser destroys enlarged tissue risk bleeding lower turp tuip laser seals blood vessels cuts prostate tissue however laser surgery may effectively treat greatly enlarged prostates open prostatectomy open prostatectomy urologist makes incision cut skin reach prostate urologist remove part prostate incision surgery used often prostate greatly enlarged complications occur bladder damaged needs repair open prostatectomy requires general anesthesia longer hospital stay surgical procedures benign prostatic hyperplasia longer rehabilitation period three open prostatectomy procedures retropubic prostatectomy suprapubic prostatectomy perineal prostatectomy recovery period open prostatectomy different man undergoes procedure however typically takes anywhere tuip tuip surgical procedure widen urethra tuip urologist inserts cystoscope instrument uses electric current laser beam urethra reach prostate urologist widens urethra making small cuts prostate bladder neck urologists believe tuip gives relief turp except less risk side effects surgery prostate urethra surrounding tissues may irritated swollen causing urinary retention prevent urinary retention urologist inserts foley catheter urine drain freely bladder foley catheter balloon end urologist inserts bladder balloon inside bladder urologist fills sterile water keep catheter place men undergo minimally invasive procedures may need foley catheter foley catheter often remains place several days sometimes foley catheter causes recurring painful difficulttocontrol bladder spasms day surgery however spasms eventually stop urologist may prescribe medications relax bladder muscles prevent bladder spasms medications include oxybutynin chloride ditropan solifenacin vesicare darifenacin enablex tolterodine detrol hyoscyamine levsin propantheline bromide probanthine
